"id","reading_time","sensor","location","temp_air","temp_motor","temp_gear","humidity","press_air"
"222","2020-12-12 11:26:06","BME280","Motor","24.74","23.50",,"53.95","1011.31"
"223","2020-12-12 11:26:39","BME280","Motor","24.67","23.50",,"53.96","1011.27"
"224","2020-12-12 11:27:11","BME280","Motor","24.65","23.44",,"53.86","1011.32"
"225","2020-12-12 11:27:44","BME280","Motor","24.63","23.31",,"53.82","1011.29"
"226","2020-12-12 11:28:16","BME280","Motor","24.59","23.25",,"53.77","1011.29"
"227","2020-12-12 11:28:49","BME280","Motor","24.56","-127.00",,"53.72","1011.27"
"228","2020-12-12 11:29:21","BME280","Motor","24.57","23.25",,"53.66","1011.27"
"229","2020-12-12 11:29:53","BME280","Motor","24.51","23.19",,"53.66","1011.28"
"230","2020-12-12 11:30:26","BME280","Motor","24.49","23.06",,"53.71","1011.27"
"231","2020-12-12 11:30:59","BME280","Motor","24.49","23.12",,"53.71","1011.27"
"232","2020-12-12 11:31:31","BME280","Motor","24.48","23.19",,"53.69","1011.22"
"233","2020-12-12 11:32:05","BME280","Motor","24.45","23.25",,"53.77","1011.26"
"234","2020-12-12 11:32:37","BME280","Motor","24.62","23.31",,"55.58","1011.25"
"235","2020-12-12 11:33:10","BME280","Motor","24.86","23.38",,"56.40","1011.23"
"236","2020-12-12 11:33:42","BME280","Motor","25.08","23.62",,"56.73","1011.22"
"237","2020-12-12 11:34:15","BME280","Motor","25.25","23.81",,"57.04","1011.19"
"238","2020-12-12 11:34:47","BME280","Motor","25.42","24.00",,"57.40","1011.21"
"247","2020-12-12 13:12:40","BME280","Motor","25.31","23.62",,"51.75","1009.12"
"248","2020-12-12 13:13:12","BME280","Motor","25.21","23.62",,"52.01","1009.12"
"249","2020-12-12 13:13:46","BME280","Motor","25.24","23.69",,"51.97","1009.13"
"250","2020-12-12 13:14:18","BME280","Motor","25.23","23.69",,"51.95","1009.10"
"251","2020-12-12 13:14:52","BME280","Motor","25.16","23.69",,"52.09","1009.13"
"252","2020-12-12 13:15:24","BME280","Motor","25.22","23.69",,"51.96","1009.10"
"253","2020-12-12 13:15:57","BME280","Motor","25.19","23.62",,"51.98","1009.13"
"254","2020-12-12 13:16:29","BME280","Motor","25.21","23.62",,"51.94","1009.08"
"255","2020-12-12 13:17:02","BME280","Motor","25.17","23.62",,"52.15","1009.09"
"256","2020-12-12 13:17:34","BME280","Motor","25.20","23.69",,"52.08","1009.06"
"257","2020-12-12 13:18:07","BME280","Motor","25.23","24.44",,"51.96","1009.04"
"258","2020-12-12 13:18:40","BME280","Motor","25.27","24.19",,"51.98","1009.06"
"259","2020-12-12 13:19:12","BME280","Motor","25.29","-127.00",,"51.52","1009.03"
"260","2020-12-12 13:19:45","BME280","Motor","25.28","23.94",,"51.93","1009.06"
"261","2020-12-12 13:20:17","BME280","Motor","25.30","23.94",,"51.97","1009.03"
"262","2020-12-12 13:20:49","BME280","Motor","25.30","23.94",,"51.96","1009.02"
"263","2020-12-12 13:21:22","BME280","Motor","25.30","23.87",,"51.92","1009.04"
"264","2020-12-12 13:21:54","BME280","Motor","25.36","24.00",,"51.81","1008.98"
"265","2020-12-12 13:22:26","BME280","Motor","25.28","23.87",,"51.82","1008.97"
"266","2020-12-12 13:22:59","BME280","Motor","25.27","23.94",,"51.90","1009.00"
"267","2020-12-12 13:23:32","BME280","Motor","25.35","23.94",,"51.75","1008.97"
"268","2020-12-12 13:24:04","BME280","Motor","25.42","24.06",,"51.63","1008.99"
"269","2020-12-12 13:24:37","BME280","Motor","25.41","24.12",,"51.57","1008.95"
"270","2020-12-12 13:25:09","BME280","Motor","25.39","24.06",,"51.61","1008.94"
"271","2020-12-12 13:25:42","BME280","Motor","25.44","23.94",,"51.54","1008.96"
"272","2020-12-12 13:30:34","BME280","Motor","25.53","23.87",,"51.54","1008.87"
"273","2020-12-12 13:31:06","BME280","Motor","25.53","23.87",,"51.56","1008.76"
"274","2020-12-12 13:31:39","BME280","Motor","25.49","23.94",,"51.74","1008.80"
"275","2020-12-12 13:32:11","BME280","Motor","25.48","23.94",,"51.72","1008.83"
"276","2020-12-12 13:32:45","BME280","Motor","25.47","23.94",,"51.64","1008.76"
"277","2020-12-12 13:33:17","BME280","Motor","25.44","23.94",,"51.62","1008.80"
"278","2020-12-12 13:33:50","BME280","Motor","25.31","23.81",,"51.89","1008.75"
"279","2020-12-12 13:34:22","BME280","Motor","25.38","23.81",,"51.73","1008.76"
"280","2020-12-12 13:34:55","BME280","Motor","25.37","23.81",,"51.72","1008.75"
"281","2020-12-12 13:35:27","BME280","Motor","25.32","23.81",,"51.87","1008.82"
"282","2020-12-12 13:36:00","BME280","Motor","25.32","23.75",,"51.87","1008.74"
"283","2020-12-12 13:36:33","BME280","Motor","25.33","23.75",,"51.92","1008.70"
"284","2020-12-12 13:37:05","BME280","Motor","25.28","23.69",,"52.00","1008.70"
"285","2020-12-12 13:37:37","BME280","Motor","25.35","23.75",,"51.89","1008.71"
"286","2020-12-12 13:38:10","BME280","Motor","25.27","23.75",,"52.00","1008.74"
"287","2020-12-12 13:38:43","BME280","Motor","25.30","23.75",,"51.94","1519.12"
"288","2020-12-12 13:39:16","BME280","Motor","25.38","23.75",,"51.77","1008.68"
"289","2020-12-12 13:39:48","BME280","Motor","25.40","23.81",,"51.77","1008.70"
"290","2020-12-12 13:40:21","BME280","Motor","25.29","23.75",,"52.08","1008.62"
"291","2020-12-12 13:40:53","BME280","Motor","25.36","23.81",,"51.98","1008.63"
"292","2020-12-12 13:41:26","BME280","Motor","25.39","23.87",,"51.94","1008.64"
"293","2020-12-12 13:41:58","BME280","Motor","25.38","23.87",,"52.00","1008.64"
"294","2020-12-12 13:42:31","BME280","Motor","25.39","23.87",,"52.11","1008.63"
"295","2020-12-12 13:43:03","BME280","Motor","25.36","23.94",,"52.07","1008.62"
"296","2020-12-12 13:43:36","BME280","Motor","25.42","24.00",,"52.02","1008.60"
"297","2020-12-12 13:44:08","BME280","Motor","25.47","24.00",,"51.96","1008.58"
"298","2020-12-12 13:44:42","BME280","Motor","25.40","23.94",,"52.04","1008.59"
"299","2020-12-12 13:45:14","BME280","Motor","25.44","24.00",,"52.06","1008.57"
"300","2020-12-12 13:45:47","BME280","Motor","25.50","24.00",,"51.95","1008.56"
"301","2020-12-12 13:46:19","BME280","Motor","25.48","24.06",,"51.96","1008.51"
"302","2020-12-12 13:46:52","BME280","Motor","25.53","24.12",,"51.87","1008.55"
"303","2020-12-12 13:47:24","BME280","Motor","25.49","24.06",,"51.97","1008.53"
"304","2020-12-12 13:47:57","BME280","Motor","25.54","24.12",,"51.85","1008.52"
"305","2020-12-12 13:48:29","BME280","Motor","25.55","26.44",,"51.78","1008.52"
"306","2020-12-12 13:49:02","BME280","Motor","25.57","26.56",,"51.69","1008.49"
"307","2020-12-12 13:49:35","BME280","Motor","25.61","25.31",,"51.61","1008.49"
"308","2020-12-12 13:50:08","BME280","Motor","25.59","24.81",,"51.75","1008.48"
"309","2020-12-12 13:50:40","BME280","Motor","25.60","24.50",,"51.77","1008.47"
"310","2020-12-12 13:51:13","BME280","Motor","25.61","-127.00",,"51.80","1008.44"
"311","2020-12-12 13:51:45","BME280","Motor","25.53","26.81",,"51.90","1008.46"
"312","2020-12-12 13:52:18","BME280","Motor","25.54","27.75",,"51.98","1008.43"
"313","2020-12-12 13:52:50","BME280","Motor","25.58","26.44",,"51.93","1008.43"
"314","2020-12-12 13:53:23","BME280","Motor","25.60","25.94",,"51.87","1008.37"
"315","2020-12-12 13:53:55","BME280","Motor","25.62","25.06",,"51.92","1008.32"
"316","2020-12-12 13:54:28","BME280","Motor","25.59","24.69",,"52.27","1008.28"
"317","2020-12-12 13:55:00","BME280","Motor","25.60","24.63",,"52.41","1008.33"
"318","2020-12-12 13:55:33","BME280","Motor","25.62","24.56",,"52.40","1008.35"
"319","2020-12-12 13:56:05","BME280","Motor","25.59","24.69",,"52.37","1008.32"
"320","2020-12-12 13:56:38","BME280","Motor","25.65","24.69",,"52.34","1008.33"
"321","2020-12-12 13:57:10","BME280","Motor","25.63","25.00",,"52.22","1008.31"
"322","2020-12-12 13:57:43","BME280","Motor","25.66","25.88",,"52.08","1008.30"
"323","2020-12-12 13:58:15","BME280","Motor","25.64","25.62",,"52.09","1008.29"
"324","2020-12-12 13:58:48","BME280","Motor","25.63","25.19",,"52.22","1008.29"
"325","2020-12-12 13:59:20","BME280","Motor","25.63","25.12",,"52.22","1008.28"
"326","2020-12-12 13:59:53","BME280","Motor","25.63","24.94",,"52.13","1008.30"
